OBJECTID,Join_Count,TARGET_FID,JOIN_FID,date,day,month,event_year,MonthYear,depth,DepthBin,pres_abs,source,region,GRID_ID
1,1,1,1455,7/6/1984,6,7,1984,7/1/1984,-22,shallow,0,AFSC_Trawl_AK,Aleutians,GL-140
2,1,2,1594,8/22/1984,22,8,1984,8/1/1984,-16,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PO-36
3,1,3,1532,8/27/1987,27,8,1987,8/1/1987,-20,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,NM-75
4,1,4,1518,7/17/1990,17,7,1990,7/1/1990,-20,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,MU-83
5,1,5,1615,8/10/1990,10,8,1990,8/1/1990,-20,shallow,0,AFSC_Trawl_AK,EastGulfofAlaska,RI-23
6,1,6,1435,7/26/1991,26,7,1991,7/1/1991,-9,shallow,0,AFSC_Trawl_AK,Aleutians,AM-175
7,1,7,1530,7/14/1993,14,7,1993,7/1/1993,-22,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,NN-76
8,1,8,1516,7/19/1993,19,7,1993,7/1/1993,-20,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,QV-85
9,1,9,1626,8/12/1993,12,8,1993,8/1/1993,-20,shallow,0,AFSC_Trawl_AK,EastGulfofAlaska,XL-17
10,1,10,1630,8/12/1993,12,8,1993,8/1/1993,-24,shallow,0,AFSC_Trawl_AK,EastGulfofAlaska,XC-16
11,1,11,1436,6/9/1994,9,6,1994,6/1/1994,-24,shallow,0,AFSC_Trawl_AK,Aleutians,AN-175
12,1,12,1467,6/2/1996,2,6,1996,6/1/1996,-23,shallow,1,AFSC_Trawl_AK,Aleutians,HL-125
13,1,13,1526,6/26/1996,26,6,1996,6/1/1996,-24,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,QS-78
14,1,14,1585,7/22/1996,22,7,1996,7/1/1996,-20,shallow,0,AFSC_Trawl_AK,SoutheastAlaska,AFJ-50
15,1,15,1439,6/14/1997,14,6,1997,6/1/1997,-22,shallow,0,AFSC_Trawl_AK,Aleutians,CA-166
16,1,16,1459,5/25/1999,25,5,1999,5/1/1999,-24,shallow,1,AFSC_Trawl_AK,Aleutians,GJ-132
17,1,17,1583,6/20/1999,20,6,1999,6/1/1999,-18,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PP-54
18,1,18,1589,6/21/1999,21,6,1999,6/1/1999,-20,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PG-41
19,1,19,1591,6/21/1999,21,6,1999,6/1/1999,-16,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PI-37
20,1,20,1613,6/22/1999,22,6,1999,6/1/1999,-17,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,QO-24
21,1,21,1621,7/11/1999,11,7,1999,7/1/1999,-23,shallow,0,AFSC_Trawl_AK,EastGulfofAlaska,YA-19
22,1,22,1579,7/16/1999,16,7,1999,7/1/1999,-24,shallow,0,AFSC_Trawl_AK,SoutheastAlaska,AFP-55
23,1,23,1438,5/24/2000,24,5,2000,5/1/2000,-20,shallow,1,AFSC_Trawl_AK,Aleutians,BZ-166
24,1,24,1456,5/30/2001,30,5,2001,5/1/2021,-24,shallow,0,AFSC_Trawl_AK,Aleutians,GN-140
25,1,25,1476,6/10/2001,10,6,2001,6/1/2021,-23,shallow,1,AFSC_Trawl_AK,Aleutians,KJ-112
26,1,26,1487,7/1/2001,1,7,2001,7/1/2021,-24,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,OW-98
27,1,27,1608,7/21/2001,21,7,2001,7/1/2021,-20,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PW-32
28,1,28,1454,6/4/2003,4,6,2003,6/1/2021,-23,shallow,0,AFSC_Trawl_AK,Aleutians,GK-140
29,1,29,1457,6/10/2003,10,6,2003,6/1/2021,-18,shallow,0,AFSC_Trawl_AK,Aleutians,GI-139
30,1,30,1484,6/27/2003,27,6,2003,6/1/2021,-13,shallow,1,AFSC_Trawl_AK,WestGulfofAlaska,OT-101
31,1,31,1510,6/30/2003,30,6,2003,6/1/2021,-23,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PI-89
32,1,32,1586,7/7/2003,7,7,2003,7/1/2021,-22,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PT-48
33,1,33,1591,7/7/2003,7,7,2003,7/1/2021,-19,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PI-37
34,1,34,1481,6/21/2005,21,6,2005,6/1/2021,-23,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,OQ-105
35,1,35,1482,6/21/2005,21,6,2005,6/1/2021,-24,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,OS-105
36,1,36,1575,6/22/2005,22,6,2005,6/1/2021,-22,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PN-56
37,1,37,1600,6/24/2005,24,6,2005,6/1/2021,-23,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PT-34
38,1,38,1455,6/11/2007,11,6,2007,6/1/2021,-23,shallow,0,AFSC_Trawl_AK,Aleutians,GL-140
39,1,39,1627,7/27/2007,27,7,2007,7/1/2021,-16,shallow,0,AFSC_Trawl_AK,EastGulfofAlaska,XN-17
40,1,40,1519,6/22/2009,22,6,2009,6/1/2021,-21,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,MV-83
41,1,41,1484,6/23/2011,23,6,2011,6/1/2021,-14,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,OT-101
42,1,42,1593,7/8/2011,8,7,2011,7/1/2021,-21,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PN-36
43,1,43,1605,7/8/2011,8,7,2011,7/1/2021,-23,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PS-33
44,1,44,1624,7/26/2011,26,7,2011,7/1/2021,-21,shallow,0,AFSC_Trawl_AK,EastGulfofAlaska,XS-18
45,1,45,1454,6/6/2013,6,6,2013,6/1/2021,-22,shallow,0,AFSC_Trawl_AK,Aleutians,GK-140
46,1,46,1457,6/6/2013,6,6,2013,6/1/2021,-18,shallow,0,AFSC_Trawl_AK,Aleutians,GI-139
47,1,47,1519,6/25/2013,25,6,2013,6/1/2021,-19,shallow,1,AFSC_Trawl_AK,WestGulfofAlaska,MV-83
48,1,48,1588,7/6/2013,6,7,2013,7/1/2021,-17,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PE-41
49,1,49,1484,7/3/2015,3,7,2015,7/1/2021,-11,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,OT-101
50,1,50,1587,7/10/2017,10,7,2017,7/1/2021,-19,shallow,0,AFSC_Trawl_AK,WestGulfofAlaska,PG-42
51,1,51,1606,7/28/2014,28,7,2014,7/1/2021,0,shallow,1,CACS_Intertidal_AK,EastGulfofAlaska,RW-33
52,1,52,1603,8/13/2014,13,8,2014,8/1/2021,0,shallow,1,CACS_Intertidal_AK,EastGulfofAlaska,RV-34
53,1,53,1606,10/10/2014,10,10,2014,10/1/2021,0,shallow,1,CACS_Intertidal_AK,EastGulfofAlaska,RW-33
54,1,54,1603,10/11/2014,11,10,2014,10/1/2021,0,shallow,1,CACS_Intertidal_AK,EastGulfofAlaska,RV-34
55,1,55,1603,1/20/2015,20,1,2015,1/1/2021,0,shallow,1,CACS_Intertidal_AK,EastGulfofAlaska,RV-34
