Longitude,Latitude,Pycnopodia_helianthoides logistic values
-1881611.733,1250590.975,0.04672818
-2234179.476,99092.25602,0.026057003
-2322709.222,2118283.006,0.0035974656
-2978547.79,3052317.345,0.048400722
-1839172.982,1321342.664,0.0967166
-1876446.183,1362462.769,0.009081046
-1880991.039,-592711.402,0.0059976513
-3048396.4,3213842.496,0.101478465
-1880306.991,1291671.784,0.1528083
-1856360.753,1324254.394,0.024722984
-3128014.321,3140996.663,0.06772293
-2062852.45,968363.4341,0.0045806034
-3225822.041,2963962.999,0.049960088
-2117326.059,1871396.013,0.1204919
-2270277.899,2621094.927,0.08005429
-1977096.461,1305564.612,0.04445214
-1816048.177,-1131674.4,9.671644E-5
-2939584.191,3219113.383,0.122564524
-2033337.429,1269688.89,0.012654341
-1841960.44,1256467.189,0.085992105
-3007160.035,2951248.858,0.015706362
-1944939.255,1289141.039,0.08857166
-1884369.096,1388106.379,0.027476683
-2106460.263,1524797.253,0.049293704
-1886413.786,-636319.2636,0.0030954874
-2084260.229,1773180.089,0.068050966
-4193188.876,3251998.172,0.11575888
-1867086.204,-810226.8357,0.0031082171
-1923446.406,1277597.403,0.116256386
-1864978.958,1223569.989,0.108173035
-1862612.267,1254822.196,0.09006056
-1846973.439,1255849.793,0.085992105
-1863493.375,1339354.222,0.008739963
-1957547.103,1477884.084,0.25591466
-2007507.027,1266843.409,0.020181095
-3377590.514,2920202.84,0.008584148
-1947019.146,1413350.922,0.23835598
-2092320.775,-498131.4003,5.9152866E-4
-1991577.234,1326099.738,0.059544705
-1900137.319,-645432.1666,0.0011645424
-1863530.972,1291674.018,0.069849856
-2108176.57,819806.0219,0.03442199
-2050785.11,-455294.5437,0.0014283415
-1833212.986,1317099.663,0.0967166
-2292245.314,2025531.245,0.014422994
-2702379.011,3042362.648,0.06378401
-2119235.728,-452747.5108,0.0014067348
-1871149.776,1330866.258,0.03596859
-1921610.235,1463520.367,0.12967528
-1940347.8,1262894.641,0.0661303
-3769945.296,3044561.851,0.049708903
-1860683.538,1275272.49,0.10085563
-1825876.853,-1016434.596,0.01412518
-1894016.936,-646940.3727,0.0063754083
-2192219.962,60334.71163,0.05414973
-1990130.233,-628443.3843,1.1361407E-4
