Latitude,Longitude,Pycnopodia_helianthoides logistic values
-3828785.262,3055599.029,0.40121368
-2838663.888,3069702.424,0.34340194
-2901100.625,2958752.229,0.19302844
-1885356.611,1376084.651,0.12840582
-1912244.494,-538997.8394,0.28119892
-1912462.358,-543507.6145,0.28119892
-1825135.091,1281432.976,0.4858176
-2236660.328,245711.433,0.62132776
-3307689.135,3105970.557,0.4734829
-1909275.853,1401236.496,0.5684727
-2820628.582,3126780.543,0.43272877
-2141626.823,-285879.9489,5.7092856E-4
-2275992.541,2365883.462,0.25065246
-1876317.197,-683548.0146,0.7349342
-2167718.467,-87749.60328,0.5090715
-2086267.14,-549629.0843,0.022872163
-3699056.537,3045527.668,0.5115594
-1894235.3,-637581.8675,0.5593126
-2775977.081,3042594.814,0.54064023
-2117571.973,-305258.8177,0.7623918
-1896799.622,1407619.209,0.42326483
-2059165.719,1429540.62,0.66885406
-2928773.476,3104557.233,0.49771553
-1885392.966,1258509.134,0.530289
-1951187.486,-510599.303,0.459766
-1923343.344,1425575.778,0.47649875
-1864368.063,1271128.807,0.36116207
-1891260.066,1255398.008,0.530289
-1878324.438,1239687.091,0.5695589
-1856129.846,1213394.606,0.5543314
-1870918.497,1320162.132,0.55052984
-2201044.892,-13720.82639,0.68917954
-2056367.137,908972.4831,0.31653485
-1855147.91,1341787.873,0.47915053
-3254146.701,2927488.662,0.45804864
-1862468.617,1331237.756,0.3234625
-2073954.112,823620.6042,0.722174
-3334469.822,2901905.628,5.094877E-4
-1888026.406,-591015.4916,0.0075846775
-2135085.873,788028.8741,0.11506074
-2180301.904,-2661.877164,0.81782407
-1831844.714,1319522.052,0.5695928
-1845186.139,1260758.492,0.51857656
-1851739.058,1342918.13,0.51075006
-2111785.862,763885.933,0.5870804
-1948770.994,1290780.736,0.19309749
-1888156.589,1359159.266,0.51995003
-1895780.564,1247825.096,0.4503797
-3556529.425,2976370.045,0.5431775
-1908134.018,1413230.987,0.549301
-2172895.083,-55957.19288,0.7447918
-1924484.189,-634036.9207,0.005436482
-1843535.285,1218243.107,0.45442852
-1891844.094,1242020.978,0.48085466
-1965153.395,-531391.066,0.05145244
-1866232.04,1295806.746,0.44199938
-3033971.739,3072103.746,0.3957856
-1981705.084,-618016.5443,0.038494587
-2069988.888,-554616.1397,0.006882126
-1999832.561,1345188.951,0.6372891
-1892036.193,1367442.606,0.51995003
-1872141.559,1306550.105,0.6069068
-1847954.511,1319528.899,0.439498
-2096919.699,786313.5128,0.69393116
-2003806.972,1187053.436,0.6150546
-1971911.62,-535924.818,0.47368586
-1876246.369,1393304.069,0.5744977
-3139035.276,2932571.915,0.5755284
-2141496.328,-270043.9149,8.684291E-4
-2173449.369,-63416.21013,0.654
-1880911.181,1272753.301,0.48020297
-1986557.24,1328208.894,0.6243985
-1970506.365,-548368.5891,0.57086223
-3373582.228,3032388.53,0.10917377
-2270745.866,2276682.113,0.47747803
-2122412.75,869799.3358,0.001985749
-1833905.166,1295741.698,0.54601395
-1979102.546,-485041.1518,0.07824448
-1891683.42,1408189.715,0.7099438
-1866091.316,1353177.224,0.04040892
-1802286.885,-1071506.966,0.39652365
-2030384.053,1601294.346,0.4654107
-1891791.79,1238723.305,0.6583446
-2215088.523,140372.2912,0.7357482
-1854630.208,1216118.872,0.5543314
-1887658.36,1271580.425,0.61420894
-2117453.002,-445936.8582,0.0787951
-3353107.18,2953577.375,0.5873004
-3011609.254,2970823.176,0.54605544
-2176453.805,-39910.41679,0.80112326
-1930021.258,1255257.325,0.4834027
-1862159.673,1246639.487,0.5293852
-3728843.163,3102242.031,0.6619524
-2426769.145,2867211.367,0.33780378
-1856979.484,1344225.068,0.47915053
-1976403.813,-520092.2929,0.02179818
-1872782.917,1221957.395,0.5965472
-1884106.227,1266517.38,0.54048437
-1882745.367,-713204.0367,0.15126446
-1864114.107,1382045.904,0.5374292
-3166394.473,3089985.066,0.5755487
-1871146.161,1274422.713,0.3638689
-1880639.882,1252827.801,0.49497366
-3633383.754,3202828.684,0.57814735
-2182025.492,-40756.55974,0.80112326
-2229692.384,2096459.189,0.61261964
-1846715.543,1321414.447,0.439498
-1995202.629,-535283.0236,0.0022658769
-3206475.864,3125637.821,0.53460467
-2019232.996,-528522.2613,0.12632364
-1842870.078,1304165.118,0.38331646
-1869102.888,1380074.641,0.5374292
-3655593.601,2966564.948,0.07676519
-2228575.681,175332.9842,0.6249402
-2972872.476,3092217.491,0.28886947
-1873077.487,1220993.04,0.5965472
-2108018.233,1433555.56,0.0016881656
-2000635.981,-582575.8375,0.37629712
-2104134.499,1637323.996,0.68442553
-2148757.877,-364185.0123,0.0029455076
-1835170.832,1235274.469,0.6602914
-2016953.306,1291057.538,0.42041987
-2214559.803,-24808.11513,0.21208267
-2047333.119,-454281.9748,0.23802006
-1902585.08,-676682.1753,0.059292898
-3400562.278,2931252.976,0.029524583
-2166115.445,-95000.76977,0.5090715
-1850275.111,1254139.161,0.51857656
-2051926.024,1612994.288,0.26996648
-2065493.007,1626934.494,0.50514513
-2948364.157,3251757.462,0.6679996
-1867111.342,1331449.727,0.47071517
-2076155.137,-458877.0847,0.034853417
-1865557.301,1269415.705,0.36116207
-3348614.145,3053362.232,0.0503555
-3693225.658,2987352.817,0.1250552
-2224216.009,67897.79216,0.68790555
-1841290.798,1245693.995,0.5711999
-2012448.567,1244461.675,0.6141001
-1807308.464,-1018915.127,0.81500787
-1850303.832,1197485.363,0.535195
-3022405.129,3165525.733,0.40857637
-3794736.121,3056496.626,0.46066862
-2314313.337,2120959.993,7.5247587E-4
-3009088.411,3081521.994,0.30152956
-1839258.513,1296317.02,0.54601395
-2183079.815,649870.1783,0.12308726
-1947176.431,1272988.022,0.22921416
-1979732.145,-591525.1069,0.08679534
-3376333.573,3202355.575,0.65352345
-3389235.281,2936509.566,0.045478255
-2087937.604,-415590.2515,0.00565105
-3361576.505,3058288.133,0.13927928
-3372520.35,2953468.997,0.6461573
-1861325.932,1288479.218,0.36250913
-1875868.62,-613921.7734,0.5912779
-1833149.249,1259913.46,0.59094983
-2110705.283,-444144.8015,0.0787951
-4294250.251,3225975.513,6.948713E-4
-1882205.903,-720633.7763,0.009572626
-1882120.026,1269498.042,0.54048437
-2189391.301,55972.83342,0.74574924
-2911569.16,2995687.256,0.50271
-2986585.638,2967562.778,0.27810794
-1863954.483,1297923.457,0.44199938
-3790094.131,3031072.066,0.018061731
-1881287.078,1400077.004,0.5744977
-1873445.243,1318443.231,0.55052984
-1974619.727,-469757.8633,0.6496497
-1897872.31,1247984.431,0.4503797
-2064066.581,-566536.4391,0.001189435
-2978416.558,3057031.647,0.44969818
-2114686.004,-301496.4701,0.7623918
-1985566.089,-578183.0691,0.19708578
-2144159.995,735582.8328,0.08630728
-1939511.678,-496303.9075,0.74943703
-1850819.91,1332615.317,0.53489876
-1845122.44,1206082.639,0.535195
