Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.89886E-8,0.000001899,0.000085945,1,0,0
2.29714E-8,0.000004196,0.000103969,0.999756691,0,0
6.0765E-8,0.000010273,0.000274977,0.999513382,0,0
8.6515E-8,0.000025028,0.000391456,0.999026764,0,0
9.7585E-8,0.000054217,0.000441523,0.998296837,0,0
1.1632E-7,0.000109399,0.000526246,0.997080292,0,0
1.33018E-7,0.000271232,0.000601744,0.993917275,0,0
1.66363E-7,0.000515101,0.000752476,0.990024331,0,0
2.14414E-7,0.001001338,0.000969604,0.983941606,0,0
3.73583E-7,0.002533466,0.001688166,0.970559611,0,0
5.65196E-7,0.005017555,0.002551828,0.957420925,0,0
1.06496E-6,0.010244824,0.004797423,0.941849148,0,0
2.53712E-6,0.025508143,0.011353856,0.920194647,0.001191895,0
4.79991E-6,0.050828458,0.02126473,0.903406326,0.00238379,0
8.3187E-6,0.100856878,0.036288128,0.883941606,0.003575685,0
1.70939E-5,0.20102506,0.071818351,0.863746959,0.007151371,0
2.14811E-5,0.300235118,0.088617371,0.851094891,0.010727056,0.010752688
2.71123E-5,0.402374518,0.109308773,0.841119221,0.011918951,0.010752688
3.0395E-5,0.507015825,0.120943003,0.832360097,0.011918951,0.010752688
3.22453E-5,0.60778199,0.127367919,0.824574209,0.011918951,0.010752688
3.5631E-5,0.703050361,0.13888372,0.817761557,0.014302741,0.010752688
3.7506E-5,0.750713044,0.1451316,0.81459854,0.014302741,0.010752688
4.0246E-5,0.813748853,0.154100432,0.810705596,0.014302741,0.010752688
4.36867E-5,0.905632816,0.165099599,0.805352798,0.014302741,0.010752688
4.54911E-5,1.030736976,0.170754146,0.798540146,0.014302741,0.010752688
4.89654E-5,1.101979305,0.181429151,0.794890511,0.015494636,0.010752688
5.37263E-5,1.211525336,0.195618762,0.789781022,0.015494636,0.010752688
5.7299E-5,1.30519517,0.20594804,0.785644769,0.016686532,0.010752688
5.94652E-5,1.404295919,0.212082666,0.781508516,0.016686532,0.010752688
6.34065E-5,1.503323851,0.223004581,0.777615572,0.016686532,0.010752688
6.90094E-5,1.772585026,0.238020067,0.767639903,0.016686532,0.010752688
7.45002E-5,2.003332658,0.252182426,0.759854015,0.017878427,0.010752688
7.93436E-5,2.265648783,0.264245057,0.751581509,0.026221692,0.010752688
8.32997E-5,2.501440213,0.27381283,0.744525547,0.034564958,0.021505376
8.95157E-5,2.840603496,0.288353638,0.735036496,0.038140644,0.032258065
9.45651E-5,3.015214201,0.299743466,0.730413625,0.038140644,0.032258065
9.86182E-5,3.257477972,0.308625657,0.7243309,0.038140644,0.032258065
1.05626E-4,3.506357416,0.323462485,0.718491484,0.039332539,0.043010753
1.07663E-4,3.750281522,0.327657503,0.712895377,0.040524434,0.053763441
1.11982E-4,4.060229138,0.336379875,0.706082725,0.040524434,0.053763441
1.16828E-4,4.266752903,0.345900644,0.701703163,0.044100119,0.053763441
1.2176E-4,4.530284596,0.355314353,0.696350365,0.045292014,0.053763441
1.24896E-4,4.7638617,0.361162053,0.691727494,0.045292014,0.053763441
1.25627E-4,5.177278088,0.362509126,0.683454988,0.045292014,0.053763441
1.26782E-4,5.430005486,0.364627115,0.678832117,0.057210965,0.107526882
1.2841E-4,5.506743638,0.367588195,0.677372263,0.058402861,0.107526882
1.33288E-4,5.75580866,0.376297123,0.672749392,0.060786651,0.107526882
1.3732E-4,6.136602074,0.383316453,0.66593674,0.065554231,0.107526882
1.3732E-4,6.287653874,0.383316453,0.663017032,0.065554231,0.107526882
1.41127E-4,6.623547565,0.389801853,0.657420925,0.071513707,0.107526882
1.42847E-4,6.993981737,0.392686661,0.651094891,0.072705602,0.107526882
1.43585E-4,7.008340206,0.393915566,0.650851582,0.072705602,0.107526882
1.44713E-4,7.253715028,0.39578559,0.646715328,0.072705602,0.107526882
