"","Species","Longitude","Latitude"
"1","Pycnopodia helianthoides",-1977372.5943151,1292487.59528299
"2","Pycnopodia helianthoides",-1978628.40516655,1292970.2642035
"3","Pycnopodia helianthoides",-1977550.69450416,1292667.87823032
"4","Pycnopodia helianthoides",-1978628.40516655,1292970.2642035
"5","Pycnopodia helianthoides",-1977540.85821985,1292675.90886154
"6","Pycnopodia helianthoides",-1974703.82537424,1292072.42198868
"7","Pycnopodia helianthoides",-1978582.80936061,1292577.18418515
"8","Pycnopodia helianthoides",-1978628.40516655,1292970.2642035
"9","Pycnopodia helianthoides",-1977906.90396844,1292629.91931656
"10","Pycnopodia helianthoides",-1973319.96804047,1291671.57082953
"11","Pycnopodia helianthoides",-1979113.9730826,1289964.39444786
"12","Pycnopodia helianthoides",-1978922.76948731,1293036.41581487
"13","Pycnopodia helianthoides",-1977179.38213082,1292402.54052435
"14","Pycnopodia helianthoides",-1974702.50228303,1292287.90806789
"15","Pycnopodia helianthoides",-1972403.94971067,1290850.63314341
"16","Pycnopodia helianthoides",-1977393.67050089,1292654.58520191
"17","Pycnopodia helianthoides",-1976131.14788572,1292404.51140118
"18","Pycnopodia helianthoides",-1979394.05946425,1293473.83496398
"19","Pycnopodia helianthoides",-1979113.9730826,1289964.39444786
"20","Pycnopodia helianthoides",-1977393.67050089,1292654.58520191
"21","Pycnopodia helianthoides",-1977179.38213082,1292402.54052435
"22","Pycnopodia helianthoides",-1978922.76948731,1293036.41581487
"23","Pycnopodia helianthoides",-1977906.90396844,1292629.91931656
"24","Pycnopodia helianthoides",-1976131.14788572,1292404.51140118
"25","Pycnopodia helianthoides",-1972403.94971067,1290850.63314341
"26","Pycnopodia helianthoides",-1973319.96804047,1291671.57082953
"27","Pycnopodia helianthoides",-1974702.50228303,1292287.90806789
"28","Pycnopodia helianthoides",-1977179.38213082,1292402.54052435
"29","Pycnopodia helianthoides",-1976131.14788572,1292404.51140118
"30","Pycnopodia helianthoides",-1979113.9730826,1289964.39444786
"31","Pycnopodia helianthoides",-1977179.38213082,1292402.54052435
"32","Pycnopodia helianthoides",-1978922.76948731,1293036.41581487
"33","Pycnopodia helianthoides",-1976131.14788572,1292404.51140118
"34","Pycnopodia helianthoides",-1979113.9730826,1289964.39444786
"35","Pycnopodia helianthoides",-1978922.76948731,1293036.41581487
"36","Pycnopodia helianthoides",-1977393.67050089,1292654.58520191
"37","Pycnopodia helianthoides",-1977393.67050089,1292654.58520191
"38","Pycnopodia helianthoides",-1974702.50228303,1292287.90806789
"39","Pycnopodia helianthoides",-1974702.50228303,1292287.90806789
"40","Pycnopodia helianthoides",-1977179.38213082,1292402.54052435
"41","Pycnopodia helianthoides",-1977393.67050089,1292654.58520191
"42","Pycnopodia helianthoides",-1977906.90396844,1292629.91931656
"43","Pycnopodia helianthoides",-1978922.76948731,1293036.41581487
"44","Pycnopodia helianthoides",-1979113.9730826,1289964.39444786
"45","Pycnopodia helianthoides",-1976131.14788572,1292404.51140118
"46","Pycnopodia helianthoides",-1972403.94971067,1290850.63314341
"47","Pycnopodia helianthoides",-1974702.50228303,1292287.90806789
"48","Pycnopodia helianthoides",-1976131.14788572,1292404.51140118
"49","Pycnopodia helianthoides",-1978922.76948731,1293036.41581487
"50","Pycnopodia helianthoides",-1977393.67050089,1292654.58520191
"51","Pycnopodia helianthoides",-1974702.50228303,1292287.90806789
"52","Pycnopodia helianthoides",-2089290.21810496,-431263.645069585
"53","Pycnopodia helianthoides",-2094684.8570006,-430602.28973922
"54","Pycnopodia helianthoides",-2119819.65159905,-419579.620857182
"55","Pycnopodia helianthoides",-2110588.50549908,-424691.781350781
"56","Pycnopodia helianthoides",-2071243.41182316,-449677.91592839
"57","Pycnopodia helianthoides",-2103913.62886833,-444807.988107863
"58","Pycnopodia helianthoides",-2098179.50382248,-449621.733542453
"59","Pycnopodia helianthoides",-2037036.43862315,-449176.265773145
"60","Pycnopodia helianthoides",-2084685.47699682,-449042.980358168
"61","Pycnopodia helianthoides",-1953713.34301637,-503218.423346786
"62","Pycnopodia helianthoides",-2016741.6550241,-518965.497281996
"63","Pycnopodia helianthoides",-2062494.18241447,-395714.367543983
"64","Pycnopodia helianthoides",-2061775.15476684,-396528.967889758
"65","Pycnopodia helianthoides",-2062721.15590346,-396070.898132352
"66","Pycnopodia helianthoides",-2103576.94687898,-443482.602783458
"67","Pycnopodia helianthoides",-2103805.28693349,-442477.634512251
"68","Pycnopodia helianthoides",-2100747.08052092,-446219.367883507
"69","Pycnopodia helianthoides",-2049819.35020564,-442735.240411235
"70","Pycnopodia helianthoides",-2050106.05399063,-442936.917302364
"71","Pycnopodia helianthoides",-2045672.52704123,-442876.865492947
"72","Pycnopodia helianthoides",-2058327.32757557,-442287.517874754
"73","Pycnopodia helianthoides",-2057917.6132006,-442705.281801148
"74","Pycnopodia helianthoides",-2058661.33903653,-441573.458934075
"75","Pycnopodia helianthoides",-2056940.43568145,-448536.895365673
"76","Pycnopodia helianthoides",-2071894.19143195,-448749.48059843
"77","Pycnopodia helianthoides",-2071534.97229839,-449046.511813307
"78","Pycnopodia helianthoides",-2075838.51372382,-435285.996533962
